"","Location","cig_smoke","toba_smoke","toba_use","HealyWarningsOnSmoking","MostSoldBrandCigaretteCurrency","MostSoldBrandCigarettePrice","TreatmentInHealthFacilities","BanOnEducationalFacilites","BanOnGovernmentFacilites","BanOnHealthcareFacilites","BanOnIndoorOffices","BanOnPublicTransport","BanOnPubsAndBars","BanOnRestaurants","BanOnUniversities","RegulationsOnSmokeFreeEnvironments","Year"
"99","Canada",16.1,16.7,22.6,"No","CAD","8.49","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","10",2012
"100","Chad",12.3,17.9,21.9,"No","XAF","500","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2012
"101","Chile",36.4,47.2,47.2,"Yes","CLP","1,635","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","5",2012
"102","China",24,26.1,26.1,"Not applicable","CNY","10.57","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","3",2012
"103","Colombia",4.6,14.9,14.9,"Yes","COP","2,269","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2012
"104","Comoros",20.3,24.6,24.4,"No","KMF","500","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","5",2012
"105","Congo",19,10.9,2.5,"No","XAF","500","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not applicable",2012
"106","Cook Islands",24.9,31.1,31.1,"No","NZD","12","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","7",2012
"107","Costa Rica",15.9,17.7,17.7,"Yes","CRC","1,300","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","8",2012
"108","Croatia",32.2,35.8,35.8,"No","HRK","20","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","7",2012
"109","Cuba",23.3,32.3,32.3,"No","CUP","7","Yes in most","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","4",2012
"110","Cyprus",31.3,38.3,38.3,"No","EUR","3.75","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","8",2012
"111","Czechia",27.7,32.5,32.5,"No","CZK","68","Yes in some","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","8",2012
"112","Albania",44.3,51.7,51.7,"No","All","200","Yes in some","3","5","5","3","8","0","0","3","0",2014
"113","Algeria",11.4,14.9,19.4,"No","DZD","150","Yes in some","6","Not applicable","4","Not applicable","Not applicable","Not applicable","Not applicable","6","2",2014
"114","Andorra",28,34.1,34.1,"Not applicable","EUR","3.5","No","10","10","10","Not applicable","10","Not applicable","Not applicable","10","10",2014
"115","Argentina",21.9,24.2,25.6,"Yes","ARS","14.5","Yes in most","9","5","9","5","10","3","10","5","6",2014
"116","Armenia",26.6,28.3,28.3,"Not applicable","AMD","600","Yes in some","5","Not applicable","5","Not applicable","Not applicable","Not applicable","Not applicable","5","5",2014
"117","Australia",12.9,15.8,18.2,"No","AUD","17.05","Yes in most","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","8",2014
"118","Austria",30.1,32.5,32.5,"No","EUR","4.9","Yes in some","8","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","6",2014
